Ticker,Mes,Precio_Inicial,Precio_Final,Rendimiento,Inflacion_Mensual,Le_Gano_A_Inflacion,Rendimiento_Acumulado_2024,Inflacion_Acumulada_2024
TSLA,2024-04-01,12682.423600000002,13342.173066666668,5.2,8.8,False,76.94,119.83
TSLA,2024-05-01,13102.672033333334,14809.370240000002,13.03,4.2,True,76.94,119.83
TSLA,2024-06-01,15248.732419999998,17810.25536,16.8,4.6,True,76.94,119.83
TSLA,2024-07-01,19758.458906666667,19878.187919999997,0.61,3.9,False,76.94,119.83
TSLA,2024-08-01,18826.91776,18539.21394,-1.53,3.6,False,76.94,119.83
TSLA,2024-09-01,18292.716,21693.31308,18.59,3.4,True,76.94,119.83
TSLA,2024-10-01,21438.709786666663,19287.4206,-10.03,3.3,False,76.94,119.83
TSLA,2024-11-01,19532.315013333333,25540.45936,30.76,3.2,True,76.94,119.83
TSLA,2024-12-01,26172.792520000003,33029.09675333334,26.2,3.1,True,76.94,119.83
YPF,2024-01-01,5487.999066666667,7193.952000000001,31.09,20.6,True,174.27,119.83
YPF,2024-02-01,7464.8486,6180.309666666667,-17.21,13.2,False,174.27,119.83
YPF,2024-03-01,6477.936166666666,7165.62,10.62,11.0,False,174.27,119.83
YPF,2024-04-01,7104.097000000001,7993.074,12.51,8.8,True,174.27,119.83
YPF,2024-05-01,8036.752,9650.872733333335,20.08,4.2,True,174.27,119.83
YPF,2024-06-01,9558.029,9054.536533333334,-5.27,4.6,False,174.27,119.83
YPF,2024-07-01,9104.369466666669,8539.903199999999,-6.2,3.9,False,174.27,119.83
YPF,2024-08-01,8408.1296,10260.599,22.03,3.6,True,174.27,119.83
YPF,2024-09-01,10097.475,8793.241800000002,-12.92,3.4,False,174.27,119.83
YPF,2024-10-01,9002.729266666667,9460.369800000002,5.08,3.3,True,174.27,119.83
YPF,2024-11-01,9951.297933333331,14910.194,49.83,3.2,True,174.27,119.83
YPF,2024-12-01,14739.557466666667,16763.408033333333,13.73,3.1,True,174.27,119.83
